region,timezone,language,lasttime,created_bill,package,hours_user,sum_vm,sum_length,is_paid
MA,1,fr,0,1737,1x3090,73,1,48789192704,0
LC,-5,en,50,2039,1x3090,29,1,55023872906,1
SM,2,en,508,16,1x2080Ti,1373,2,1.96242E+11,1
KR,9,ko,64,28,16,15,2,2.08958E+11,1
VN,7,vi,16,1178,1x3090,2,1,11502878720,0
VN,7,vi,545,97,NULL,46,7,1.76126E+11,1
US,-4,en,0,32,16,55,1,10418687204,1
US,-6,en,81,47,16,6,1,28880928768,0
BG,3,bg,0,229,18,27,1,25678577664,0
CH,1,fr,53,869,cpuhub1,15,1,11253317632,0
IN,4,en,80,26,1x3090,25,1,33297530880,1
VN,7,en,0,562,cpuhub1,25,1,32317112320,0
MX,-6,es,113,146,1x3090,77,1,78019297280,1
HK,8,en,1,72,1x3090,152,2,1.93706E+11,1
BR,-3,pt,21,1732,1x3090,33,1,33383514112,1
KR,9,ko,37,6956,16,8,1,20188394292,1
US,-5,en,0,32,cpuhub1,5,1,4194304,0
IR,3,en,2,476,16,58,2,82642468864,1
HR,2,en,28,1841,1x3090,51,1,59090403328,1
US,-5,en,0,56,golden,10,1,10091495424,0
VN,7,vi,0,216,1x3090,47,1,46465548288,0
VN,7,vi,163,1571,1x3090,43,7,7.10745E+11,1
US,-4,pl,18,89,1x3090,42,2,2.5644E+11,1
JP,9,en,122,23065,18,1,4,4.15687E+11,1
VN,7,vi,33,20,1x2080Ti,4,1,5567938560,0
HR,1,en,0,4957,1x3090,95,1,11926503424,0
SE,1,sv,0,79,1x3090,10,1,15704522752,0
VN,7,vi,46,1570,16,78,1,31624003584,1
NL,2,en,4,1325,16,51,1,28488761344,0
CA,-4,en,1,63,1x3090,3,1,29545725952,1
GB,0,en,0,1326,16,79,1,1.01744E+11,0
RS,1,en,235,2638,1x2080Ti,135,2,37688457778,1
JM,-5,en,1,14415,1x3090,739,1,1.7729E+11,1
PT,0,pt,0,71,1x3090,67,1,29250027520,0
IL,3,en,103,1968,1x3090,23,1,18141672068,1
LB,2,en,37,15803,cpuhub1,28,1,13105102848,0
MM,6,en,0,31,16,3,3,86753935360,0
VN,7,vi,22,10582,1x3090,9,1,42325770240,0
VN,7,en,0,1197,1x3090,25,1,35050749952,0
VN,7,en,104,46,22,96,2,65522293591,1
PK,-4,en,16,1392,1x3090,48,2,1.68093E+11,1
IT,1,it,59,1816,1x3090,18,1,63907561472,1
VN,7,en,257,67,1x2080Ti,1,2,35507929088,0
US,-4,en,66,33,1x3090,1264,1,20374816624,1
VN,7,en,286,67,16,28,7,1.42472E+11,1
VN,7,vi,0,1334,1x3090,24,1,13499971566,0
MV,5,en,36,69,16,16,1,9800973593,1
GR,2,el,1,18,1x3090,14,1,87093673984,1
VN,7,vi,109,79409,sliver,22,1,33901651343,1
RU,3,en,4,27,1x3090,115,1,61755727293,1
IT,1,en,17,22,1x3090,35,1,72424095744,1
GB,0,en,134,127,16,19,18,2.49536E+12,1
BR,-3,en,371,5894,1x3080,12,3,35189936715,1
VN,7,vi,0,1160,1x3090,79,1,11417944064,0
UA,2,ru,1,58,1x3090,51,2,60618178560,1
DE,1,de,129,123891,1x3090,77,4,1.83075E+11,1
CO,-5,en,0,87,cpuhub1,88,1,27686600704,0
ID,7,en,0,60,1x2080Ti,171,1,9275703296,0
PH,8,en,63,113,1x3090,111,1,70393164755,0
VN,7,en,2,1482,16,79,1,23156162993,1
US,1,de,38,21341,1x3090,15,1,34945892352,0
VN,7,vi,0,93,1x3090,10,1,29665263616,0
US,-5,en,0,8229,18,2,1,10106599406,1
VN,7,vi,51,33,cpuhub1,39,1,36928749568,0
VN,7,en,15,444,cpuhub1,60,2,1.07617E+11,1
VN,7,vi,0,36,1x3090,79,1,65931313152,0
US,-6,en,0,23,16,5,1,11671391840,1
VN,7,vi,88,5737,1x3090,61,2,1.48399E+11,0
RU,5,ru,0,220,16,78,3,78440824832,0
US,-5,en,0,43,6x2080ti,2,1,37835767808,0
FR,2,fr,0,44,1x3090,6,2,36522298880,1
DE,1,de,1,132,6x3080,5,2,6193441233,1
VN,7,en,0,34,1x3090,39,1,54514417664,0
CN,8,en,194,434,1x2080Ti,30,1,8641314816,1
VN,7,vi,4,46,1x3090,109,1,29398925312,0
IN,5,en,0,41,16,67,1,32303480832,0
US,-4,en,0,45,1x3090,80,2,96519323648,1
AE,4,en,64,28835,1x3090,2,1,32597944441,1
