region,timezone,language,lasttime,created_bill,package,hours_use,sum_length,is_paid
MA,1,fr,0,28.95,1x3090,1.216666667,48.7891927,0
LC,-5,en,50,33.98333333,1x3090,0.483333333,55.02387291,1
SM,2,en,508,0.266666667,1x2080Ti,22.88333333,196.242,1
KR,9,ko,64,0.466666667,16,0.25,208.958,1
VN,7,vi,16,19.63333333,1x3090,0.033333333,11.50287872,0
US,-4,en,0,0.533333333,16,0.916666667,10.4186872,1
US,-6,en,81,0.783333333,16,0.1,28.88092877,0
BG,3,bg,0,3.816666667,18,0.45,25.67857766,0
CH,1,fr,53,14.48333333,cpuhub1,0.25,11.25331763,0
IN,4,en,80,0.433333333,1x3090,0.416666667,33.29753088,1
VN,7,en,0,9.366666667,cpuhub1,0.416666667,32.31711232,0
MX,-6,es,113,2.433333333,1x3090,1.283333333,78.01929728,1
HK,8,en,1,1.2,1x3090,2.533333333,193.706,1
BR,-3,pt,21,28.86666667,1x3090,0.55,33.38351411,1
KR,9,ko,37,115.9333333,16,0.133333333,20.18839429,1
US,-5,en,0,0.533333333,cpuhub1,0.083333333,0.004194304,0
IR,3,en,2,7.933333333,16,0.966666667,82.64246886,1
HR,2,en,28,30.68333333,1x3090,0.85,59.09040333,1
US,-5,en,0,0.933333333,golden,0.166666667,10.09149542,0
VN,7,vi,0,3.6,1x3090,0.783333333,46.46554829,0
VN,7,vi,163,26.18333333,1x3090,0.716666667,710.745,1
US,-4,pl,18,1.483333333,1x3090,0.7,256.44,1
JP,9,en,122,384.4166667,18,0.016666667,415.687,1
VN,7,vi,33,0.333333333,1x2080Ti,0.066666667,5.56793856,0
HR,1,en,0,82.61666667,1x3090,1.583333333,11.92650342,0
SE,1,sv,0,1.316666667,1x3090,0.166666667,15.70452275,0
VN,7,vi,46,26.16666667,16,1.3,31.62400358,1
NL,2,en,4,22.08333333,16,0.85,28.48876134,0
CA,-4,en,1,1.05,1x3090,0.05,29.54572595,1
GB,0,en,0,22.1,16,1.316666667,101.744,0
RS,1,en,235,43.96666667,1x2080Ti,2.25,37.68845778,1
JM,-5,en,1,240.25,1x3090,12.31666667,177.29,1
PT,0,pt,0,1.183333333,1x3090,1.116666667,29.25002752,0
IL,3,en,103,32.8,1x3090,0.383333333,18.14167207,1
LB,2,en,37,263.3833333,cpuhub1,0.466666667,13.10510285,0
MM,6,en,0,0.516666667,16,0.05,86.75393536,0
VN,7,vi,22,176.3666667,1x3090,0.15,42.32577024,0
VN,7,en,0,19.95,1x3090,0.416666667,35.05074995,0
VN,7,en,104,0.766666667,22,1.6,65.52229359,1
PK,-4,en,16,23.2,1x3090,0.8,168.093,1
IT,1,it,59,30.26666667,1x3090,0.3,63.90756147,1
VN,7,en,257,1.116666667,1x2080Ti,0.016666667,35.50792909,0
US,-4,en,66,0.55,1x3090,21.06666667,20.37481662,1
